[Tue May 30 08:41:28.478073 2017] [:error] [pid 3433] [client 127.0.0.1:51510] PHP Fatal error:  Uncaught Error: Call to undefined method Symfony\\Component\\Debug\\Exception\\FatalThrowableError::getStatusCode() in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php:50\nStack trace:\n#0 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#1 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#2 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#3 {main}\n  thrown in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php on line 50, referer: http://teste.com/auth/login
[Tue May 30 08:41:28.478274 2017] [:error] [pid 3433] [client 127.0.0.1:51510] PHP Fatal error:  Uncaught Error: Call to undefined method Symfony\\Component\\Debug\\Exception\\FatalErrorException::getStatusCode() in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php:50\nStack trace:\n#0 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#1 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#2 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(119): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#3 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->hand in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php on line 50, referer: http://teste.com/auth/login
[Tue May 30 08:42:31.569924 2017] [:error] [pid 3437] [client 127.0.0.1:52032] PHP Fatal error:  Uncaught Error: Call to undefined method Symfony\\Component\\Debug\\Exception\\FatalThrowableError::getStatusCode() in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php:50\nStack trace:\n#0 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#1 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#2 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#3 {main}\n  thrown in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php on line 50, referer: http://teste.com/auth/login
[Tue May 30 08:42:31.570208 2017] [:error] [pid 3437] [client 127.0.0.1:52032] PHP Fatal error:  Uncaught Error: Call to undefined method Symfony\\Component\\Debug\\Exception\\FatalErrorException::getStatusCode() in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php:50\nStack trace:\n#0 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#1 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#2 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(119): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#3 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->hand in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php on line 50, referer: http://teste.com/auth/login
[Tue May 30 08:50:39.785530 2017] [:error] [pid 2785] [client 127.0.0.1:57032] PHP Fatal error:  Uncaught Error: Call to undefined method Symfony\\Component\\Debug\\Exception\\FatalThrowableError::getStatusCode() in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php:50\nStack trace:\n#0 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#1 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#2 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#3 {main}\n  thrown in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php on line 50, referer: http://teste.com/auth/login
[Tue May 30 08:50:39.786643 2017] [:error] [pid 2785] [client 127.0.0.1:57032] PHP Fatal error:  Uncaught Error: Call to undefined method Symfony\\Component\\Debug\\Exception\\FatalErrorException::getStatusCode() in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php:50\nStack trace:\n#0 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#1 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#2 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(119): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#3 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->hand in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php on line 50, referer: http://teste.com/auth/login
[Tue May 30 08:52:38.364886 2017] [:error] [pid 2787] [client 127.0.0.1:58114] PHP Fatal error:  Uncaught Error: Call to undefined method Symfony\\Component\\Debug\\Exception\\FatalThrowableError::getStatusCode() in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php:50\nStack trace:\n#0 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#1 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#2 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#3 {main}\n  thrown in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php on line 50, referer: http://teste.com/auth/login
[Tue May 30 08:52:38.365224 2017] [:error] [pid 2787] [client 127.0.0.1:58114] PHP Fatal error:  Uncaught Error: Call to undefined method Symfony\\Component\\Debug\\Exception\\FatalErrorException::getStatusCode() in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php:50\nStack trace:\n#0 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#1 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#2 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(119): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#3 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->hand in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php on line 50, referer: http://teste.com/auth/login
[Tue May 30 08:53:00.435601 2017] [:error] [pid 2788] [client 127.0.0.1:58310] PHP Fatal error:  Uncaught Error: Call to undefined method Symfony\\Component\\Debug\\Exception\\FatalThrowableError::getStatusCode() in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php:50\nStack trace:\n#0 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#1 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#2 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#3 {main}\n  thrown in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php on line 50, referer: http://teste.com/auth/login
[Tue May 30 08:53:00.435861 2017] [:error] [pid 2788] [client 127.0.0.1:58310] PHP Fatal error:  Uncaught Error: Call to undefined method Symfony\\Component\\Debug\\Exception\\FatalErrorException::getStatusCode() in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php:50\nStack trace:\n#0 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#1 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#2 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(119): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#3 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->hand in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php on line 50, referer: http://teste.com/auth/login
[Tue May 30 08:53:46.098604 2017] [:error] [pid 2789] [client 127.0.0.1:58690] PHP Fatal error:  Uncaught Error: Call to undefined method Symfony\\Component\\Debug\\Exception\\FatalThrowableError::getStatusCode() in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php:50\nStack trace:\n#0 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#1 /var/www/html/laravel/admin-spa/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#2 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Exception\\FatalThrowableError))\n#3 {main}\n  thrown in /var/www/html/laravel/admin-spa/app/Exceptions/Handler.php on line 50, referer: http://teste.com/auth/login
