[Fri Mar 16 17:14:19.721638 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP Fatal error:  Trait 'App\\Notifiable' not found in /var/www/html/api/server/app/Contact.php on line 9, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736447 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP Stack trace:, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736492 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP   1. {main}() /var/www/html/api/server/public/index.php:0, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736507 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP   2. App\\Http\\Kernel->handle() /var/www/html/api/server/public/index.php:55, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736522 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP   3. App\\Http\\Kernel->sendRequestThroughRouter() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736539 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP   4. Illuminate\\Routing\\Pipeline->then() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736558 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP   5. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736575 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP   6. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736587 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP   7. Barryvdh\\Cors\\HandlePreflight->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736599 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP   8. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/barryvdh/laravel-cors/src/HandlePreflight.php:35, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736621 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP   9. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736642 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\CheckForMaintenanceMode->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736660 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  11. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:46, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736676 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  12. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736694 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  13. Illuminate\\Foundation\\Http\\Middleware\\ValidatePostSize->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736713 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  14. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736743 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  15. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736763 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  16. App\\Http\\Middleware\\TrimStrings->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736780 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  17. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736799 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  18. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736817 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  19. Illuminate\\Foundation\\Http\\Middleware\\ConvertEmptyStringsToNull->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736835 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  20. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736851 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  21. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736869 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  22. App\\Http\\Middleware\\TrustProxies->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
